F,O2,O4,O6,O8
0.5,0.999950383892572,0.999982624528396,0.999977922086144,0.999980625689565
0.52356427402545,0.999940379824386,0.999999992889571,0.999999999989192,1.00000000000002
0.548239098071593,0.999928321447795,0.999999989719338,0.999999999997602,1.00000000000002
0.574076810748442,0.999913824487143,0.999999985142759,0.999999999994231,0.999999999999999
0.601132217308706,0.999896395836627,0.999999978525688,0.999999999995538,0.999999999919844
0.629462705897084,0.999875442925966,0.999999968958134,0.999999999992046,0.999999999997131
0.659128369278204,0.999850253237789,0.99999995512809,0.999999999985874,0.999999999999364
0.690192132301443,0.999819970488857,0.999999935141999,0.999999999974773,1.00000000000003
0.722719885372964,0.999783565472938,0.999999906251001,0.99999999995925,0.999999999999177
0.756780624218104,0.999739801235413,0.999999864487364,0.999999999929339,0.999999999998653
0.792446596230557,0.999687191288652,0.999999804116744,0.999999999860434,0.999999999999037
0.82979345371878,0.999623949405427,0.999999716851968,0.999999999786916,0.999999999998912
0.868900414374688,0.999547929440157,0.999999590709377,0.999999999629686,0.999999999999366
0.909850429304992,0.99945655315321,0.999999408366849,0.999999999356267,0.999999999998789
0.952730358981624,0.99934672372327,0.99999914478609,0.999999998881043,0.999999999998273
0.99763115748444,0.999214722168664,0.999998763769281,0.999999998054347,0.999999999996912
1.04464806542702,0.99905608342988,0.999998212991745,0.999999996621458,0.999999999992922
1.09388081197478,0.998865448233185,0.999997416743093,0.999999994076809,0.999999999986705
1.14543382638389,0.998636386240563,0.999996265879271,0.999999989787036,0.999999999972167
1.19941645950975,0.998361185218179,0.999994602113509,0.999999982263744,0.999999999941709
1.25594321575479,0.998030600177668,0.99999219699976,0.999999969173753,0.999999999877242
1.31513399594769,0.997633555438323,0.999988718455323,0.999999946421797,0.999999999744984
1.37711435166908,0.997156791879421,0.999983694007743,0.999999906876748,0.999999999468185
1.4420157515633,0.996584450484944,0.999976428090467,0.999999838144228,0.999999998888791
1.50997586020101,0.995897582726744,0.999965924263225,0.999999718669662,0.999999997676945
1.58113883008419,0.995073577697837,0.999950739564795,0.999999510996067,0.999999995146022
1.65565560741296,0.994085495902211,0.999928788048648,0.999999150009203,0.999999989855317
1.73368425226266,0.992901300306032,0.99989705439366,0.999998522503335,0.99999997879714
1.81539027385051,0.991482977232333,0.999851180166898,0.999997431674899,0.999999955685531
1.90094698160281,0.989785543327269,0.999784866272956,0.999995535374047,0.999999907375079
1.99053585276749,0.987755941277946,0.999689010515143,0.999992238733078,0.999999806389584
2.08434691735168,0.985331836903825,0.999550463775455,0.999986507491722,0.999999595287599
2.18257916120083,0.982440345150686,0.999350238444964,0.999976543354774,0.999999153972669
2.28544094807437,0.978996733856229,0.999060932574378,0.999959219577629,0.999998231330998
2.39315046161319,0.974903183247233,0.998643036186942,0.999929099673575,0.999996302284332
2.50593616813636,0.970047717431878,0.998039655318866,0.999876731781986,0.999992268800183
2.62403730124886,0.964303471850305,0.99716901911086,0.99978568543779,0.999983834546114
2.74770436928812,0.957528516446094,0.995913928191802,0.999627408008551,0.999966196912341
2.87719968668578,0.949566514082385,0.99410708219565,0.999352310735619,0.999929311459875
3.01279793037179,0.94024854793142,0.991511061620641,0.998874364707866,0.999852172352111
3.15478672240097,0.929396486136606,0.987791805606709,0.99804461638499,0.999690862584118
3.30346724003798,0.916828243714049,0.982485077955681,0.996606061426294,0.999353629995964
3.45915485459468,0.902365224087732,0.974957311386584,0.994117983914217,0.998649096867194
3.62217980037495,0.885842045496933,0.964366417888198,0.989832743067411,0.997179505610497
3.79288787514592,0.867118362368338,0.949635924784771,0.982505727078729,0.994124437284392
3.97164117362141,0.846092180667722,0.929467633728993,0.97013224273369,0.987818730431676
4.15881885551335,0.822713583627205,0.902430931596796,0.94966495027105,0.974995103076353
4.3548179497804,0.796997323436897,0.867170150236072,0.916925241731905,0.949680805696226
4.56005419677955,0.769032432533,0.822744675230732,0.867189582855226,0.902470107449107
4.77496293010718,0.738987013446821,0.769042489342566,0.797024416111546,0.822761690552041
5,0.70710678118874,0.707106781187963,0.707106781188285,0.707106781188426
5.2356427402545,0.673706751698128,0.639171113261942,0.603906670917606,0.568332449879647
